carrera,legajo,plan,fecha_ingreso,calidad,localidad_nacimiento,colegio_secundario,titulo_secundario
206,967,S95,12/04/02,A,MAR DEL PLATA,ESCUELA Nº 4-033 LAUREANA F. DE OLAZABAL,TÉCNICO ELECTROMECANICO
206,1759,S95,12/04/02,A,,ESCUELA AGROTECNICA DE ZONDA,BACHILLER
206,5079,S95,12/04/02,A,MAR DEL PLATA,BACHILLER NACIONAL SAN JUAN,BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION
206,6504,S95,12/04/02,E,MAR DEL PLATA,ESCUELA TECNICA Nº 2,TÉCNICO EN ELECTRÓNICA
206,1407,S95,12/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,TÉCNICO ELECTRONICO
204,6245,2003,12/04/02,A,,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,BACHILLER EN SERVICIOS
205,6245,2004,29/11/02,E,,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,BACHILLER EN SERVICIOS
206,6245,1995,09/03/06,A,,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,BACHILLER EN SERVICIOS
206,1012,S95,12/04/02,A,LANUS,COLEGIO NACIONAL TEODOSIO FRANCO GARCIA,BACHILLER C/SALIDA LABORAL EN INFORMATICA
206,1075,S95,12/04/02,A,MAR DEL PLATA,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER EN CIENCIAS EXACTAS.
206,408,S95,12/04/02,E,Ciudad Autónoma de Buenos Aires,ESCUELA,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,2792,S95,12/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,BACHILLER CON ORIENTACION EN ECONOM.PROD.DE BIENES Y SERV
206,1110,S95,12/04/02,E,GENERAL RODRIGUEZ,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
206,715,S95,12/04/02,A,TRES ARROYOS,ESCUELA DE COMERCIO NICOLAS ECHEZARRETA,PERITO MERCANTIL
206,5549,S95,12/04/02,E,OLAVARRIA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
209,6414,2006,12/04/02,E,Ciudad Autónoma de Buenos Aires,ESCUELA POLIMODAL Nº 10 GRAL JOSE DE SAN MARTIN,BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES
203,6414,1999,01/03/04,A,Ciudad Autónoma de Buenos Aires,ESCUELA POLIMODAL Nº 10 GRAL JOSE DE SAN MARTIN,BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES
206,2579,S95,12/04/02,N,MAR DEL PLATA,ESCUELA NACIONAL DE COMERCIO NOCTURNA DOCTOR SANTIAGO SEGUNDO CORTINEZ,BACHILLER CON ORIENTACION HUMANISTICO SOCIAL
206,5172,S95,15/04/02,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,BACHILLER CON ESPECIALIZACION EN INFORMATICA
206,2,S95,15/04/02,A,Ciudad Autónoma de Buenos Aires,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
209,2133,1998,22/04/02,A,GENERAL MADARIAGA,PROFESOR JAVIER FROILAN FERRERO,
206,4373,S95,22/04/02,A,MAR DEL PLATA,BACHILLER NACIONAL SAN JUAN,BACHILLER EN GESTION Y ADMINISTRACION
206,3376,S95,22/04/02,A,CASTELAR,NUESTRA SEÑORA DE FATIMA,BACHILLER CON ORIENTACION EN COMPUTACION
209,3421,1998,22/04/02,E,,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER CON ORIENTACION EN CIENCIAS HUMANAS Y SOCIALES
206,701,S95,22/04/02,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,BACHILLER
206,4842,S95,22/04/02,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,
206,1553,S95,22/04/02,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,PERITO MERCANTIL
204,4648,2003,22/04/02,A,TANDIL,MONS. AMERICO ORZALI,TÉCNICO QUIMICO
206,3386,S95,22/04/02,A,MAR DEL PLATA,COLEGIO NACIONAL PROFESOR FROILAN FERRERO,
206,856,S95,22/04/02,E,BALCARCE,GRAL. M. S. BELGRANO,BACHILLER
206,1024,S95,22/04/02,E,,PROFESOR JAVIER FROILAN FERRERO,BACHILLER CON ESPECIALIZACION EN CIENCIAS BIOLOGICAS
206,2434,S95,22/04/02,E,MAR DEL PLATA,PROVINCIAL DE RIVADAVIA,BACHILLER
206,5886,S95,22/04/02,A,LAPRIDA,ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN,TÉCNICO EN COMPUTACION
206,3791,S95,22/04/02,A,TRES ARROYOS,PROVINCIAL Nº 4,BACHILLER CON ORIENTACION AGROPECUARIA
206,3106,S95,22/04/02,A,MAR DEL PLATA,EL TRANSITO DE NUESTRA SEÑORA,BACHILLER FISICO-MATEMATICO
206,6341,S95,22/04/02,E,TANDIL,PBRO. FRANCISCO PEREZ HERNANDEZ,BACHILLER CON ESPECIALIZACION EN CIENCIAS EXACTAS Y NATURALES
206,5317,S95,22/04/02,N,TANDIL,SAN AGUSTIN,BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.
206,466,S95,23/04/02,E,TANDIL,MONS. AMERICO ORZALI,TÉCNICO EN COMPUTACION
201,4593,2004,23/04/02,E,,COLEGIO SEC SAN FRANCISCO DE ASIS,"CIENCIAS NATURALES, SALUD Y AMBIENTE"
205,4593,1995,06/02/03,N,,COLEGIO SEC SAN FRANCISCO DE ASIS,"CIENCIAS NATURALES, SALUD Y AMBIENTE"
211,4593,2004,23/03/06,E,,COLEGIO SEC SAN FRANCISCO DE ASIS,"CIENCIAS NATURALES, SALUD Y AMBIENTE"
206,4324,S95,23/04/02,E,CORONEL DORREGO,SAN FRANCISCO,TÉCNICO EN COMPUTACION
206,5915,S95,23/04/02,E,MAR DEL PLATA,PROFESOR JAVIER FROILAN FERRERO,Bachiller Modalidad Economía y Gestión de las Organizaciones
206,5390,S95,23/04/02,E,TANDIL,COLEGIO CENTRAL UNIVERSITARIO MARIANO MORENO,Bachiller Modalidad Economía y Gestión de las Organizaciones
206,5197,S95,23/04/02,A,MAR DEL PLATA,SAN JOSE,BACHILLER
206,5249,S95,23/04/02,A,,SAN PABLO,
206,3202,S95,23/04/02,E,AZUL,NUESTRA SEÑORA DE FATIMA,BACHILLER CON ORIENTACION EN COMPUTACION
201,350,2004,23/04/02,E,BALCARCE,GRAL. M. S. BELGRANO,TÉCNICO
211,350,2004,29/05/12,A,BALCARCE,GRAL. M. S. BELGRANO,TÉCNICO
206,3891,S95,23/04/02,E,NECOCHEA,NUESTRA SRA. DE LOS DESAMPARADOS,TÉCNICO EN COMPUTACION
206,3589,S95,23/04/02,A,MIRAMAR,SAN VICENTE FERRER,TÉCNICO ELECTRONICO
206,5277,S95,23/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,TÉCNICO ELECTRONICO
206,4959,S95,23/04/02,A,MAR DEL PLATA,COLEGIO EL TRANSITO,TÉCNICO ELECTRONICO
206,5941,S95,23/04/02,E,,COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO,BACHILLER CON CAPACITACION LABORAL EN ECON. Y GESTION DE LAS ORGAN.
206,1676,S95,23/04/02,E,,SANTA MARIA,TÉCNICO ELECTROMECANICO
206,815,S95,23/04/02,A,GENERAL PIRAN,SANTA ROSA DE LIMA,BACHILLER
206,2868,S95,23/04/02,E,MAR DEL PLATA,COLEGIO NACIONAL TEODOSIO FRANCO GARCIA,BACHILLER
206,5355,S95,23/04/02,E,MAR DEL PLATA,INSTITUTO PERALTA RAMOS,Bachiller Modalidad Economía y Gestión de las Organizaciones
206,3249,S95,23/04/02,A,MAR DEL PLATA,ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO,TÉCNICO EN COMPUTACION
206,2642,S95,24/04/02,E,MAR DEL PLATA,INSTITUTO PERALTA RAMOS,Bachiller Modalidad Ciencias Naturales
