carrera,legajo,fecha_ingreso
206,967,12/04/02
206,1759,12/04/02
206,5079,12/04/02
206,6504,12/04/02
206,1407,12/04/02
204,6245,12/04/02
205,6245,29/11/02
206,6245,09/03/06
206,1012,12/04/02
206,1075,12/04/02
206,408,12/04/02
206,2792,12/04/02
206,1110,12/04/02
206,715,12/04/02
206,5549,12/04/02
209,6414,12/04/02
203,6414,01/03/04
206,2579,12/04/02
206,5172,15/04/02
206,2,15/04/02
209,2133,22/04/02
206,4373,22/04/02
206,3376,22/04/02
209,3421,22/04/02
206,701,22/04/02
206,4842,22/04/02
206,1553,22/04/02
204,4648,22/04/02
206,3386,22/04/02
206,856,22/04/02
206,1024,22/04/02
206,2434,22/04/02
206,5886,22/04/02
206,3791,22/04/02
206,3106,22/04/02
206,6341,22/04/02
206,5317,22/04/02
206,466,23/04/02
201,4593,23/04/02
205,4593,06/02/03
211,4593,23/03/06
206,4324,23/04/02
206,5915,23/04/02
206,5390,23/04/02
206,5197,23/04/02
206,5249,23/04/02
206,3202,23/04/02
201,350,23/04/02
211,350,29/05/12
206,3891,23/04/02
206,3589,23/04/02
206,5277,23/04/02
206,4959,23/04/02
206,5941,23/04/02
206,1676,23/04/02
206,815,23/04/02
206,2868,23/04/02
206,5355,23/04/02
206,3249,23/04/02
206,2642,24/04/02
206,975,24/04/02
206,293,24/04/02
206,4967,24/04/02
206,5121,24/04/02
206,1195,24/04/02
206,6034,24/04/02
206,4061,24/04/02
206,6320,24/04/02
206,192,24/04/02
206,1032,24/04/02
206,2353,24/04/02
212,2353,05/04/10
206,4621,24/04/02
206,2819,24/04/02
206,2719,24/04/02
206,2480,25/04/02
207,2480,23/03/09
208,2480,15/08/11
201,2958,25/04/02
201,3489,25/04/02
206,4024,25/04/02
206,6525,25/04/02
206,6333,25/04/02
204,4590,25/04/02
204,427,25/04/02
206,427,25/04/02
201,3586,25/04/02
205,3586,25/03/03
211,3586,03/03/06
207,5542,25/04/02
206,4719,25/04/02
206,260,25/04/02
207,2820,25/04/02
206,3712,25/04/02
206,3425,25/04/02
207,4703,25/04/02
207,6162,25/04/02
207,1475,25/04/02
206,6218,25/04/02
206,37,25/04/02
206,4655,26/04/02
206,831,26/04/02
201,831,01/03/04
206,3078,26/04/02
206,3138,26/04/02
206,2797,26/04/02
212,2797,04/09/07
206,4910,26/04/02
206,550,26/04/02
206,593,26/04/02
206,5144,26/04/02
206,309,26/04/02
206,3141,26/04/02
206,2395,26/04/02
205,965,26/04/02
201,965,20/02/06
206,965,15/02/08
206,700,26/04/02
206,4295,26/04/02
206,4022,26/04/02
206,6132,26/04/02
206,1660,26/04/02
206,4549,26/04/02
206,3788,26/04/02
206,3625,29/04/02
206,4450,29/04/02
206,642,29/04/02
206,3609,29/04/02
212,3609,27/03/13
204,4098,29/04/02
201,4098,14/03/08
205,4098,25/02/10
206,3615,29/04/02
206,3499,29/04/02
206,3428,29/04/02
213,3428,21/04/15
206,410,29/04/02
206,3432,29/04/02
212,3432,09/02/10
206,5434,29/04/02
206,4677,29/04/02
201,4677,12/03/02
211,4677,22/05/12
206,1653,29/04/02
206,634,29/04/02
206,3777,29/04/02
212,3777,22/04/15
206,2718,29/04/02
206,5380,29/04/02
206,1699,29/04/02
201,1699,01/03/05
206,4799,29/04/02
206,6500,29/04/02
206,5142,30/04/02
206,4252,30/04/02
206,1921,30/04/02
206,4773,30/04/02
207,4773,12/12/02
204,4773,01/03/04
209,4773,12/02/07
206,361,30/04/02
206,1677,30/04/02
206,3379,30/04/02
206,5684,30/04/02
205,3996,30/04/02
201,3996,14/02/03
211,3996,14/03/08
206,26,30/04/02
206,384,30/04/02
212,384,05/09/07
206,2991,30/04/02
206,5418,30/04/02
212,5418,05/09/07
206,3285,30/04/02
206,6106,30/04/02
212,6106,26/02/13
206,4441,30/04/02
206,5976,30/04/02
206,3863,30/04/02
206,2880,30/04/02
206,5260,30/04/02
212,5260,17/02/10
206,159,30/04/02
206,1114,30/04/02
212,1114,30/08/16
213,1114,30/08/16
206,2005,30/04/02
206,5766,30/04/02
206,3916,30/04/02
206,3380,15/04/02
209,2139,15/04/02
206,5922,15/04/02
206,5721,15/04/02
206,5228,15/04/02
212,5228,26/03/10
206,1317,15/04/02
206,4581,15/04/02
